Subject,Group,Proficiency_Proxy,Center_Acc,OVP_Acc,Delta_Acc
pp01,L1,277.97514699342855,98.6350008051409,99.17792006263394,-0.5429192574930397
pp03,L1,298.84183936005985,97.62362294905881,97.16657116996001,0.4570517790988049
pp05,L1,215.9932356257046,97.7541654940089,97.5111797005379,0.24298579347100713
pp07,L1,265.7389499532273,99.90825688073394,99.90825688073394,0.0
pp09,L1,227.8978416519664,98.83580992260428,98.765387387393,0.07042253521127861
pp11,L1,211.95803155716501,99.55693742712786,100.0,-0.4430625728721367
pp13,L1,274.1641852770885,97.40913767891945,97.61509592428658,-0.20595824536712826
pp15,L1,319.49383090177065,98.041363869702,97.71837438866615,0.32298948103584735
pp17,L1,336.12575696406947,95.80783118344384,95.40207659850768,0.4057545849361617
pp19,L1,226.70419658739047,99.79949874686716,99.79949874686716,0.0
pp02,L1,276.8078095023135,98.432257936562,99.0093362255047,-0.5770782889427011
pp04,L1,279.2012859798061,99.21752397558849,99.09482458908542,0.1226993865030721
pp06,L1,306.8063920679289,97.48979201554343,97.22215123434368,0.267640781199745
pp08,L1,245.29658060013958,98.60467283210167,99.14669783752193,-0.5420250054202569
pp10,L1,233.97387010493108,99.8,99.8,0.0
pp12,L1,272.20985871271586,99.7872340425532,99.7872340425532,0.0
pp14,L1,242.0241792929293,99.22683217634425,99.5777093693267,-0.3508771929824519
pp16,L1,144.38320763855256,99.07811413592731,99.34657051176623,-0.2684563758389231
pp01,L2,306.99989425263044,90.49162789475409,88.62996793058133,1.861659964172759
pp02,L2,323.7211185819071,92.44381019936472,92.08734117662516,0.35646902273956016
pp03,L2,312.37190437818964,88.48016138953906,86.44543240890293,2.0347289806361317
pp04,L2,312.95022563176894,81.53203515367747,80.05386147830541,1.4781736753720622
pp05,L2,248.8697311996653,88.29115944526221,85.65874835748693,2.6324110877752815
pp06,L2,399.7536203329721,92.01071083456574,83.13447833221662,8.876232502349126
pp07,L2,294.6325508607199,87.14224026070715,85.27877117075722,1.8634690899499304
pp08,L2,328.542092477802,79.00441042731526,78.81913288881651,0.1852775384987524
pp09,L2,251.85612788632326,87.94568175547103,86.43905438265236,1.50662737281867
pp10,L2,330.4102783510344,75.73841415910388,75.26469170694358,0.4737224521603025
pp11,L2,225.7677632999784,96.28275248820759,96.5994203551239,-0.3166678669163048
pp12,L2,301.3727374659619,82.96842741256224,77.46560893166534,5.502818480896892
pp13,L2,349.77530343007913,85.97495915115687,82.39973864451058,3.575220506646289
pp14,L2,288.95857550459687,91.67344420638241,90.69100609673305,0.9824381096493653
pp15,L2,369.18427458617333,78.5350209678492,71.6155246565468,6.91949631130241
pp16,L2,332.1011726608115,84.57788435978807,78.27974558100293,6.298138778785145
pp17,L2,365.577403534746,80.96796352507384,79.5055149440148,1.4624485810590357
pp18,L2,290.3470572848548,84.50313297844147,78.29239809514385,6.210734883297619
pp19,L2,256.4694055944056,93.92597098881949,93.5253569693273,0.40061401949218123
