timestamp,module,section,prompt_tokens,candidate_tokens,total_tokens
2026-04-27 05:39:36,text_model,concepts,22046,1244,25404
2026-04-27 05:39:37,text_model,limitations,22059,1889,25451
2026-04-27 05:39:38,text_model,overview,22040,1639,25355
2026-04-27 05:39:39,text_model,qa,22045,2196,26378
2026-04-27 05:39:52,text_model,methodology,22070,4188,28503
2026-04-27 05:58:15,calibration,overview,22029,2338,26726
2026-04-27 06:14:29,calibration,overview,22029,1477,24107
2026-04-27 06:14:48,calibration,concepts,22023,1449,24138
2026-04-27 06:15:08,calibration,methodology,22059,1278,23998
2026-04-27 06:15:28,calibration,limitations,22053,1405,24109
2026-04-27 06:15:48,calibration,qa,22047,1128,23976
