timestamp,x_px,y_px,baseline_x,baseline_y,vibe_x,vibe_y
19619,500,500,500.0,500.0,500.0,500.0
19654,499,500,499.5,500.0,499.5,500.0
19675,496,501,498.3333333333333,500.3333333333333,498.3333333333333,500.3333333333333
19707,489,504,496.0,501.25,496.0,501.25
19754,488,508,494.4,502.6,494.4,502.6
19783,481,511,490.6,504.8,490.6,504.8
19804,465,518,483.8,508.4,483.8,508.4
19829,450,525,474.6,513.2,474.6,513.2
19849,423,539,461.4,520.2,461.4,520.2
19871,403,539,444.4,526.4,444.4,526.4
19894,397,553,427.6,534.8,427.6,534.8
19920,409,543,416.4,539.8,416.4,539.8
19942,366,559,399.6,546.6,399.6,546.6
19962,376,546,390.2,548.0,390.2,548.0
19983,412,545,392.0,549.2,392.0,549.2
20005,373,558,387.2,550.2,387.2,550.2
20023,383,556,382.0,552.8,382.0,552.8
20041,413,557,391.4,552.4,391.4,552.4
20064,388,570,393.8,557.2,393.8,557.2
20082,406,566,392.6,561.4,392.6,561.4
20100,368,578,391.6,565.4,391.6,565.4
20122,332,583,381.4,570.8,381.4,570.8
20141,350,573,368.8,574.0,368.8,574.0
20158,366,563,364.4,572.6,364.4,572.6
20174,369,563,357.0,572.0,357.0,572.0
20188,396,555,362.6,567.4,362.6,567.4
20203,414,551,379.0,561.0,379.0,561.0
20220,435,542,396.0,554.8,396.0,554.8
20239,454,542,413.6,550.6,413.6,550.6
20255,468,536,433.4,545.2,433.4,545.2
20274,475,526,449.2,539.4,449.2,539.4
20303,479,518,462.2,532.8,462.2,532.8
20320,483,511,471.8,526.6,471.8,526.6
20341,491,513,479.2,520.8,479.2,520.8
20358,489,509,483.4,515.4,483.4,515.4
20375,489,508,486.2,511.8,486.2,511.8
20392,481,500,486.6,508.2,486.6,508.2
20407,471,493,484.2,504.6,484.2,504.6
20424,467,492,479.4,500.4,479.4,500.4
20441,465,492,474.6,497.0,474.6,497.0
20460,459,489,468.6,493.2,468.6,493.2
20486,453,484,463.0,490.0,463.0,490.0
20507,448,482,458.4,487.8,458.4,487.8
