timestamp,x_px,y_px
19619,500,500
19654,499,500
19675,496,501
19707,489,504
19754,488,508
19783,481,511
19804,465,518
19829,450,525
19849,423,539
19871,403,539
19894,397,553
19920,409,543
19942,366,559
19962,376,546
19983,412,545
20005,373,558
20023,383,556
20041,413,557
20064,388,570
20082,406,566
20100,368,578
20122,332,583
20141,350,573
20158,366,563
20174,369,563
20188,396,555
20203,414,551
20220,435,542
20239,454,542
20255,468,536
20274,475,526
20303,479,518
20320,483,511
20341,491,513
20358,489,509
20375,489,508
20392,481,500
20407,471,493
20424,467,492
20441,465,492
20460,459,489
20486,453,484
20507,448,482
20524,449,485
20542,449,486
20560,449,488
20578,447,487
20595,447,488
20613,447,493
20627,445,494
20646,444,495
20665,442,494
20682,445,499
20700,446,502
20719,448,508
20737,449,514
20757,446,511
20774,446,517
20792,446,527
20810,448,530
20834,445,524
20856,452,534
20876,456,549
20895,455,555
20915,452,543
20945,452,547
20966,455,545
20986,454,546
21006,456,548
21027,454,552
21053,450,549
21078,447,546
21098,447,543
21119,449,550
21139,450,550
21158,446,531
21177,441,520
21196,443,532
21216,450,538
21240,454,543
21260,453,536
21285,457,546
21304,454,550
21322,455,552
21343,455,561
21362,457,569
21380,466,568
21398,464,564
21411,460,561
21430,451,559
21448,451,561
21473,450,560
21494,442,549
21512,441,550
21536,450,548
21557,445,540
21576,443,533
21621,442,537
21638,446,541
21658,445,542
21677,441,543
21701,442,546
21718,446,553
21741,447,557
21758,452,564
21775,446,564
21791,458,563
21805,459,562
21820,461,563
21837,469,565
21854,463,561
21870,463,560
21888,465,570
21903,469,573
21921,466,572
21937,462,548
21953,458,527
21971,454,509
21987,450,494
22004,449,483
22021,448,475
22039,446,468
22054,456,475
22072,456,473
22087,456,472
22104,449,465
22120,448,464
22137,449,466
22153,451,469
22173,447,465
22192,448,469
22206,450,472
22225,460,484
22238,458,482
22253,455,480
22272,451,477
22287,452,478
22304,452,480
22320,456,485
22338,454,483
22353,467,497
22371,464,494
22387,474,504
22404,469,499
22420,468,498
22438,464,494
22453,462,492
22471,461,491
22487,464,494
22504,471,502
22520,467,497
22538,465,495
22555,463,493
22570,461,491
22587,462,492
22603,462,491
22621,467,497
22637,464,494
22653,469,499
22670,460,489
22687,451,480
22704,444,472
22720,442,471
22737,445,473
22753,445,474
22771,441,470
22787,446,474
22805,452,493
22820,455,516
22837,453,530
22854,460,546
22870,462,557
22889,466,573
22904,462,573
22921,465,577
22937,461,580
22957,459,578
22975,458,575
22993,465,578
23007,461,576
23023,464,586
23045,459,582
23060,458,584
23075,467,582
23092,464,579
23106,467,580
23121,463,576
23137,460,571
23154,464,576
23170,465,575
23187,462,572
23210,462,568
23225,465,563
23238,466,554
23254,462,554
23274,453,550
23292,450,548
23308,450,555
23322,450,559
23337,452,561
23360,450,558
23379,452,556
23393,457,555
23409,454,550
23424,453,551
23445,452,552
23461,446,547
23474,452,548
23492,448,543
23506,456,544
23522,455,541
23546,454,542
23564,451,540
23583,448,541
23601,448,539
23616,455,543
23631,453,552
23646,454,554
23661,461,560
23675,461,561
23693,464,572
23719,463,577
23735,465,575
23753,463,570
23772,472,569
23787,465,561
23803,460,563
23820,454,563
23837,449,563
23855,446,565
23872,447,568
23887,447,570
23904,447,572
23921,451,559
23937,458,557
23955,458,560
23972,460,565
23987,460,567
24003,463,566
24021,462,546
24037,468,535
24061,458,510
24073,451,491
24088,448,480
24103,444,469
24120,448,469
24137,445,462
24154,445,460
24172,453,468
24187,444,458
24205,456,471
24234,453,469
24249,459,477
24265,459,478
24279,462,483
24293,461,483
24307,466,489
24325,459,484
24342,468,494
24356,478,506
24374,488,517
24398,495,525
24413,496,527
24425,497,528
24442,491,523
24457,486,517
24472,467,498
24487,470,501
24505,462,493
24522,461,491
24537,463,493
24554,464,494
24572,461,491
24587,460,490
24605,453,483
24625,446,474
24642,451,480
24656,454,483
24672,449,478
24689,447,475
24705,442,470
24720,446,474
24744,445,473
24762,439,467
24776,445,474
24791,449,478
24810,441,470
24822,441,469
24837,443,471
24853,434,461
24872,426,453
24887,428,455
24905,441,469
24920,453,481
24937,448,476
24953,445,473
24972,444,472
24987,454,483
25006,456,486
25023,458,488
25038,450,479
25054,450,479
25073,448,476
25087,451,480
25104,448,476
25120,444,472
25137,450,479
25154,452,481
25172,449,478
25187,458,488
25204,451,480
25220,456,484
25238,445,473
25255,440,468
25274,444,472
25287,451,480
25304,449,478
25320,456,485
25337,462,491
25354,459,488
25374,456,484
25391,459,488
25410,458,487
25429,454,483
25449,452,480
25472,443,472
25487,445,474
25505,444,497
25523,437,514
25540,437,527
25555,439,540
25583,439,546
25603,433,556
25623,437,559
25641,439,579
25657,442,597
25673,445,612
25693,450,618
25716,450,618
25732,446,617
25759,442,613
25779,440,614
25794,439,614
25811,438,616
25827,435,613
25845,441,615
25863,446,619
25884,444,614
25905,448,617
25922,458,625
25943,458,625
25965,457,625
25985,459,627
26004,458,624
26022,455,626
26041,457,628
26062,459,624
26084,450,616
26103,439,603
26123,430,600
26144,431,607
26163,434,609
26184,435,610
26206,428,611
26226,421,612
26244,417,615
26265,397,621
26287,393,619
26309,377,620
26329,378,619
26354,384,620
26377,370,615
26399,377,618
26419,368,619
26440,358,617
26461,362,619
26486,360,613
26506,360,612
26526,360,610
26548,355,609
26571,357,602
26592,357,602
26612,353,605
26631,354,607
26654,359,614
26674,357,616
26694,359,614
26713,350,616
