timestamp,x_px,y_px
28405,500,500
28424,502,499
28442,508,497
28458,523,493
28474,548,485
28489,588,474
28505,634,461
28521,681,446
28537,726,436
28553,762,422
28577,789,411
28601,802,403
28617,815,396
28633,824,394
28650,827,390
28666,823,388
28684,816,383
28700,805,383
28717,805,385
28733,796,387
28751,792,388
28777,782,387
28792,771,387
28808,743,378
28825,734,378
28841,728,380
28857,731,385
28873,726,388
28889,728,388
28904,723,389
28920,696,379
28936,678,373
28960,657,365
28976,632,357
28992,625,355
29008,620,354
29024,633,361
29038,633,362
29054,645,366
29070,650,367
29086,659,369
29111,660,367
29126,661,365
29141,684,375
29156,693,377
29171,695,377
29186,693,374
29200,688,370
29217,697,374
29233,703,377
29249,703,376
29264,700,375
29279,706,378
29294,710,380
29309,714,383
29324,716,384
29338,717,384
29353,716,384
29368,715,384
29384,715,384
29399,707,380
29415,706,379
29430,716,385
29452,727,391
29468,741,399
29485,749,395
29501,756,391
29518,761,392
29535,764,390
29553,766,379
29569,768,373
29585,759,364
29600,761,346
29617,753,328
29633,750,319
29650,735,302
29667,739,295
29685,733,300
29703,727,299
29720,719,312
29738,720,330
29755,716,346
29772,716,361
29789,715,372
29805,718,388
29822,718,389
29839,718,395
29856,717,397
29873,716,398
29890,708,399
29907,705,397
29923,701,399
29940,699,397
29965,691,401
29990,687,388
30015,689,382
30040,682,361
30065,681,371
30084,681,357
30102,681,356
30120,683,353
30138,683,353
30155,685,362
30173,710,354
30191,711,383
30209,715,401
30228,713,424
30245,720,446
30263,715,450
30288,715,461
30313,720,450
30339,719,459
30365,719,472
30385,721,478
30404,722,478
30431,718,481
